trial,state,value,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,min_split_gain
20,COMPLETE,0.9187312612086834,52,4,17,0.5659173277155072,0.36711358154705764,4.876882392078566,0.054202520802053684,1.0350419919987934
21,COMPLETE,0.9187255223771378,74,4,10,0.8519823393636735,0.5888228055590912,1.915000465895653,0.014474572888390705,0.5919545006304889
22,PRUNED,0.919304359995476,125,3,16,0.7312027863056721,0.4834531360314699,3.9719993765622514,0.011372483366449561,0.31065543153026515
23,PRUNED,0.9193220182498649,88,4,5,0.778742678173655,0.39371601439445547,1.0507859435515332,0.04236856519826033,0.5404859675506221
24,PRUNED,0.9191527832344519,98,6,25,0.7314493409319913,0.5021134031441847,4.133069359413141,0.13102435131460952,0.9239032517838907
25,PRUNED,0.9192507051009884,65,5,9,0.8407590562491007,0.6164255827150739,9.386036114974955,0.0020780754160581337,0.03823653436393504
26,COMPLETE,0.9187161029299074,41,3,12,0.9372147784141135,0.38449469551986953,0.3683149157291337,0.009349554115341286,0.6249177244244755
27,PRUNED,0.9191730942444809,79,4,33,0.6091325707564645,0.43711894162539566,3.035124381767376,0.03084647394836854,0.8332041501138914
28,PRUNED,0.9189643000156527,112,7,15,0.6959848070601843,0.5152715811883368,1.1018829739789686,0.0032484308961960797,1.1423003591170693
29,PRUNED,0.9192522938325673,49,3,31,0.7978539783095749,0.7400342070651641,0.0507101860106788,0.0015515626543459243,0.20480547947103245
30,PRUNED,0.9188787333270616,65,8,25,0.8563678924395883,0.583300583413544,0.24620437616295832,0.01678198095412157,0.4672335111147897
31,PRUNED,0.919298317539994,105,3,10,0.8653990575680749,0.6336801166403581,2.101636860979196,0.21961122707786382,0.738153187987127
32,COMPLETE,0.918732609155919,113,3,8,0.9344761143182734,0.6542394933018456,6.084378740446993,0.5737508816020249,0.7289745222038638
33,COMPLETE,0.9187450668004469,95,4,5,0.803406397634707,0.5556275705357113,2.1745233989059067,0.09371735721090892,0.3630189933603591
34,PRUNED,0.9193119794141553,97,4,5,0.7496095913400848,0.5570181176288109,0.9036794398994874,0.06490671538779207,0.3393756068996782
35,PRUNED,0.9192990699048338,83,4,8,0.7991640236800343,0.5982602576445001,1.9411233268142063,0.07581066421013344,0.4538035360850603
36,PRUNED,0.9192651558625541,96,5,13,0.8322053577503192,0.47163572576852236,5.957384598965518,0.007401408749210641,0.336582587084018
37,PRUNED,0.9193093051507819,109,4,8,0.7279095840119025,0.5388992959856737,2.848346979422489,0.0034892946097404135,0.10022292325598076
38,PRUNED,0.919164812549956,117,5,14,0.7878600782517668,0.3428173359773584,1.1761669670088601,0.022765968350624662,0.5511561151265857
39,PRUNED,0.9191876468634227,101,4,11,0.6678794322158255,0.40094624588605654,0.08251026151970489,0.0366921785779379,1.3839698937767668
40,PRUNED,0.9192461982164628,127,3,50,0.7538213306944006,0.5077985049301075,0.012190311917716459,0.16231647163542276,1.651453149226356
41,PRUNED,0.9192683544276388,106,3,5,0.8820198435491607,0.738218842178855,1.7873030268149133,2.2777827791201295,0.8417084036239855
42,COMPLETE,0.9187532687417124,86,3,19,0.8307822504591084,0.5682156785332448,5.877611790058043,0.0010058593146867055,0.3955870934825991
43,COMPLETE,0.9187621595901408,86,4,17,0.8187646686924688,0.5727525982227766,6.146243390234033,0.0014231323885506636,0.40287184064646264
44,COMPLETE,0.9187688177924082,81,3,18,0.9138511870898824,0.4626862017238371,6.010135774000827,0.001087062036949691,0.22736023921985157
45,PRUNED,0.9193621512733575,80,3,24,0.9785336263788388,0.47219965855442225,6.888508084035485,0.0032148454097198293,0.25869148438464634
46,COMPLETE,0.9187472566912187,68,4,19,0.9049366967432575,0.42844346187509863,8.432335587218159,0.001451664267382412,0.09282063817875147
47,PRUNED,0.9192867171617263,77,5,18,0.9269494165802165,0.525034677754027,4.021876468555199,0.002039402697623055,0.5220927264146882
48,PRUNED,0.9193308396667397,44,3,42,0.9661407568415699,0.6076974088155842,0.6582177093571944,0.0073617277225509975,0.14091491688261082
49,PRUNED,0.9193326459104838,90,4,27,0.8766185629826801,0.45847484130485167,9.470537226481959,0.004167493996855099,0.7030645347753611
