trial,state,value,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,gamma
23,COMPLETE,0.9188723950111334,0.00922506177036515,5,12,0.6447795628692655,0.309781968847355,0.4331043711005364,9.235642990824584,0.48290447750868837
24,COMPLETE,0.9188538513139031,0.00914943161010636,6,11,0.6333753243824016,0.3522086145885808,0.11663117501518702,1.300271253353683,0.5063323946471402
25,COMPLETE,0.9188555685255068,0.014756826838069158,5,6,0.6548538597117255,0.28919606357711536,0.41603573019696255,3.4506433450457465,0.20327333576067041
26,PRUNED,0.9200777713206693,0.006544207474357583,4,10,0.5770362095450922,0.40720917054047656,3.7202264505935565,9.914452781265698,0.4796816263098669
27,PRUNED,0.9200442883204785,0.01735905118173306,6,20,0.7221296124945029,0.31810647461132247,0.03566314910952467,2.085257855761234,0.9971094289380201
28,COMPLETE,0.9188740744506072,0.010652350117703414,5,16,0.6359533095855654,0.2556316510441536,0.12639150083972248,4.326465074379025,0.18256498523997466
29,PRUNED,0.9193568877630265,0.009907373478989737,3,13,0.5788861714504914,0.521546646553249,0.1162517148252496,0.03569887559508051,0.15162586050756824
30,COMPLETE,0.9188644897442211,0.012821654633627631,4,16,0.6379097388951599,0.24901530031677932,0.40247663654973675,4.966860566757671,0.33427429830284094
31,COMPLETE,0.9188643561539203,0.006542435332814593,5,18,0.6911268183041848,0.3643446037433288,0.5559886063318574,3.8893549128938574,0.5998207242451863
32,PRUNED,0.9200449024920023,0.003943729272545069,5,15,0.7491610511546026,0.298510669042522,0.01733109319259327,1.763226822286627,0.13869900012579942
33,PRUNED,0.919402360994237,0.00732167498784262,6,13,0.6191174161413884,0.4450632122732335,0.16461899200905822,0.6806269683068065,0.43383186637085075
34,PRUNED,0.9200592266681675,0.018844926881876414,5,19,0.8340004166329414,0.23513505832733084,1.0546369056559037,5.547079768582131,0.9180210287980455
35,PRUNED,0.9201023209353196,0.0037513840624606018,6,16,0.5905708054809657,0.26556980112693024,0.3806971014031496,2.5959897516589825,1.295259772252757
36,PRUNED,0.9200879283826091,0.009740830035352225,4,13,0.6607702085751743,0.323216289984309,0.06184452182270304,0.2785028479717324,0.5686478560007977
37,PRUNED,0.9193366047536308,0.01599547256631931,7,9,0.5471097156589657,0.38242404932632484,0.2516844615803952,0.0014748250534501388,0.7121020162497363
38,PRUNED,0.9191475274344401,0.0988456752654677,4,11,0.7099690875707025,0.7027258609887648,1.2685794977005054,3.4061961581118916,1.4634790197173109
39,COMPLETE,0.9189092131148182,0.005745683467089719,5,4,0.7565084087298176,0.23999160553474358,0.010447832502231288,6.6063486871966015,1.2002670834959914
